S#,Title,Location,Date,Incident Area,Open/Close Location,Target,Cause,Summary,Fatalities,Injured,Total victims,Policeman Killed,Age,Employeed (Y/N),Employed at,Mental Health Issues,Race,Gender,Latitude,Longitude
11,Cascade Mall shooting,"Burlington, WA",9/23/2016,cosmetics section of a Macyâ€™s department store,Close,women,terrorism,"Arcan Cetin, 20, killed a teen girl and three women in the cosmetics section of a Macyâ€™s department store at the Cascade Mall. A man was critically wounded in the shooting and taken to Harborview Medical Center in Seattle, where he died. Cetin was apprehended by police a few hours after the shooting while driving a car near his residence. ",5,0,5,,20,,,Yes,,M,,
12,Baton Rouge police shooting,"Baton Rouge, LA",7/17/2016,,Open,police,,"Gavin Long, a former Marine who served in Iraq, killed three police offers responding to a 911 call, and wounded three others. He was killed in a shoot-out with other officers responding to the scene. Prior to the attack, Long posted prolifically on social media, where he expressed admiration for the cop killer in Dallas 10 days prior.",3,3,6,3,,,former Marine,Yes,Black,M,,
13,Dallas police shooting,"Dallas, Texas",7/7/2016,at protest,Open,police,racism,"Micah Xavier Johnson, a 25-year-old Army veteran, targeted police at a peaceful Black Lives Matter protest, killing five officers and injuring nine others as well as two civilians. After a prolonged standoff in a downtown building, law enforcement killed Johnson using a robot-delivered bomb.",5,11,16,5,25,,Army veteran,Unclear,Black,M,,
14,Orlando nightclub massacre,"Orlando, Florida",6/12/2016,at nightclub,Close,random,,"Omar Mateen, 29, attacked the Pulse nighclub in Orlando in the early morning hours of June 12. He was killed by law enforcement who raided the club after a prolonged standoff.",49,53,102,0,29,,,Unclear,Other,M,,
15,"Ferguson, MO Drive by","Ferguson, Missouri",4/29/2016,,Open,random,,A group of 15 to 20 people was gathered for a memorial for a family member when two cars drove by and opened fire. Four people were injured. No suspects or specific motive or targets.,0,4,4,0,0,,,Unknown,Unknown,Unknown,38.744217,-90.305391
16,"Forestville, Maryland Drive-by",,4/26/2016,in street,Open,,,"Shooter shot from his car at people standing on the street at 1:30 AM. Police don't believe the woman who died was the target, and do not believe the shooting was random.",1,4,5,0,,,,Unknown,Unknown,Unknown,38.845113,-76.874972
17,"Halifax County, VA",,4/24/2016,crown,Open,random,,"Male shooter fired into crown when a deputy police tried, unsuccessfully to stop him. The deputy fired on the shooter and inured him.",0,6,6,0,,,,Unknown,Black American or African American,Male,36.765971,-78.928344
18,Tire-Slashing revenge escalation,,4/21/2016,block party,Open,random,frustration,Shooter was angry over fact that rival families had been slashing each other's cars. Shooter fired into a block party and injured four.,0,4,4,0,,,,Unknown,Black American or African American,Male,39.290385,-76.612189
19,Chicago Rap video Shootout,,4/19/2016,in a park,Open,random,,Group of young men were in a park at 2 in the morning when a male walked up and shot them. One fatality. Four injuries. Shooter is unknown.,1,4,5,0,,,,Unknown,Unknown,Unknown,41.878114,-87.629798
20,Texas family murder-suicide,,4/19/2016,Home,Close,Family,domestic dispute,Man killed his wife and two young children before committing suicide. No explanation has been offered,4,0,4,0,,,,Unknown,White American or European American,Male,29.785785,-95.824396
